;ACC5;ACC6;ACC1;ACC2;ACC3;ACC4;H1;H2;ACC7;ACC8;ACC9;ACC10;ACC11;ACC12;ACC13;ACC14;ACC15;ACC16;ACC17;ACC18;ACC19;ACC20;H3;H4;ACC21;ACC22;ACC23;ACC24;ACC25;ACC26;H5;H6;H7;H8;H9;Kingdom;Phylum;Class;Order;Family;Genus;Species
9eab66bdf08dedd60da6452d140cd523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;d__Bacteria;NA;NA;NA;NA;NA;NA
2d17e8031e46d335ee8e42a883f8c487;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;NA;NA;NA;NA;NA;NA
5ffa98f5c03bfbae11c7e73712ad3206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;d__Bacteria;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;uncultured_bacterium
35cf3373bd16fef781d0225e4cf41ef1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;d__Bacteria;NA;NA;NA;NA;NA;NA
a5030d56e308a33b8f1a96d3ecf554c3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;d__Bacteria;NA;NA;NA;NA;NA;NA
71cb5733cb898dea8c4758d3502f77df;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;metagenome
c7af5ff2de7c75946880f784776c459d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;d__Bacteria;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;NA
08126da03e26df504e39051955cc8552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;KF-JG30-B3;NA
fb23a0f9bae349eca7d10d6695b7fd01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;d__Bacteria;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;uncultured_bacterium
74f1eb62d349a26eba59f2b2bf9f9a9b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;d__Bacteria;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;Latescibacterota;NA
