;I1;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;I2;G20;I3;I4;I5;I6;I7;I8;I9;Kingdom;Phylum;Class;Order;Family;Genus;Species
e81c8f18c0df08131145447a93c267bb;4635;2007;13055;2240;2318;2365;2306;5266;2131;2156;5330;2186;2584;2654;5334;2329;4708;3418;1629;3952;d__Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium_sp.
2345c975ae95fddd8aa7816acb912ffc;1537;606;3545;591;725;549;590;1292;554;518;1750;823;717;610;1586;629;1907;913;414;1140;d__Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;NA
38b7580c13cf081c9f279006c2dc70b9;0;1994;3048;81;2889;27;0;0;0;121;1638;0;81;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
67fe68b10effbc7af1e15eb1d66f58af;659;407;1010;170;327;340;308;589;342;373;824;242;304;324;792;368;874;538;178;397;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;NA
4462df938f189c198fc3ee0d8b9a2065;432;137;1050;160;192;255;275;256;93;110;389;104;204;153;541;259;544;254;134;339;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;NA
b6a1cfc87c3ffa7f96227d4a372d8dd7;0;1116;1760;82;1398;0;0;0;0;108;735;0;65;0;0;0;30;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;uncultured_bacterium
3f3a0eaeea9c0690b6ede1b17b4fd8ce;33;766;1086;51;1496;0;0;0;0;65;630;0;29;0;0;0;30;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ad89a9d5fec4408fafb73e7225f44d08;0;681;1237;19;1174;11;0;0;0;47;524;0;34;0;0;3;27;0;5;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;uncultured_bacterium
b264ac8ff5f9aff74f0b9aa084d9a9f0;0;632;980;31;982;46;0;0;0;34;690;0;0;0;0;33;55;0;22;19;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
4f17105bf002596e47d0a3d93d6f71e7;0;0;0;0;0;1849;0;0;1153;0;286;0;0;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella_vaginalis
