;SF1;SF48;SF11;SF16;SF12;SF07;SF13;SF14;SF27;SF15;SF47;SF18;SF19;SF2;SF21;SF22;SF23;SF24;SF56;SF25;SF67;SF28;SF29;SF3;SF31;SF32;SF33;SF34;SF35;SF36;SF37;SF38;SF4;SF40;SF41;SF42;SF43;SF44;SF45;SF46;SF49;SF5;SF51;SF52;SF53;SF54;SF55;SF58;SF59;SF6;SF61;SF62;SF63;SF64;SF65;SF68;SF69;SF71;SF72;SF73;SF74;SF75;SF76;SF77;SF78;SF08;SF80;SF9;Kingdom;Phylum;Class;Order;Family;Genus;Species
3f3a0eaeea9c0690b6ede1b17b4fd8ce;5118;0;0;1201;2971;0;0;0;649;1552;1393;1371;434;59;2150;551;1049;4485;903;4454;100;3877;1146;145;973;2470;1449;98;0;0;553;4806;0;3625;0;117;950;0;3914;2661;3828;1168;0;11674;0;0;4021;2690;305;5240;5480;222;4447;831;586;511;1111;334;465;1561;123;0;0;405;1119;614;123;5327;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_adolescentis
8f6e2a91e20994c00566a5ff2b49506e;1037;1335;1518;530;412;699;797;654;1218;1312;420;313;1164;445;744;240;374;639;5194;521;491;2040;2087;164;549;617;781;1671;1135;7439;906;723;704;80;1746;988;397;3211;3129;3411;792;413;2009;2273;1105;320;596;753;1339;1170;2866;207;501;893;52;3213;2028;440;238;196;283;182;418;92;437;3698;13;907;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
dfa833b266bd2993b86feab3617b34c3;0;97;0;35;0;38;5761;0;0;0;0;1429;3256;725;644;0;1674;1228;0;229;0;0;7966;0;0;0;0;0;11423;11;0;31;1154;0;0;4503;0;1000;0;0;0;0;4;0;6789;0;0;306;5637;0;3422;0;1897;264;90;0;1373;0;0;0;0;300;0;0;0;51;0;14;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia_muciniphila
b264ac8ff5f9aff74f0b9aa084d9a9f0;0;1142;647;375;195;162;1146;87;368;563;215;2544;67;168;1634;160;505;979;0;760;2920;0;410;793;42;0;2517;96;357;1317;202;1030;869;0;584;773;1549;3661;586;377;472;637;373;1405;186;24;165;3965;560;344;1747;93;554;1438;972;0;1559;315;230;1225;85;1504;140;533;218;736;0;420;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;NA
c5be3cbb0c4c3ad43d1c9902233d0993;282;321;0;315;145;320;174;717;1568;983;424;117;1735;814;209;91;188;755;0;338;164;0;983;19;179;390;976;75;540;0;374;444;2819;0;987;3017;31;8243;3613;0;447;504;0;824;211;897;800;230;1070;0;443;34;760;707;25;0;1618;206;68;347;0;198;0;176;828;0;0;495;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae_UCG-003;NA
c7d1ed6c70202259164edf3ee7806f0c;857;1658;1698;1188;1100;269;610;135;609;414;184;311;342;265;320;241;225;567;380;883;215;0;104;100;513;631;542;416;849;1509;231;2105;407;0;882;713;295;780;2997;0;763;623;1908;2195;1033;407;497;1159;494;0;973;242;574;706;44;130;279;470;224;334;57;142;55;164;470;1628;0;1270;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
df3d6113f855e22f2a6d44e60f01baa7;56;1394;190;665;568;204;1013;307;208;793;4078;206;978;3300;656;703;1206;231;294;557;0;363;58;288;729;343;32;3462;1084;65;617;712;896;0;58;2152;1097;8;276;0;334;242;1868;318;1723;520;1434;704;691;7;1476;199;112;832;5;28;73;327;69;5;122;39;11;37;183;0;0;617;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;NA
4abaa483334092f021534a979086baeb;436;0;175;415;613;530;0;441;1912;2070;0;603;0;134;211;979;0;0;160;25;0;289;416;74;36;62;2837;71;142;178;128;0;1025;1106;41;265;33;1308;156;1052;0;0;209;492;0;1836;552;613;0;236;462;1087;0;0;73;1394;265;47;357;3297;33;2596;292;62;106;0;9508;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_dorei
4516aa60a483dd8c7bbc57098c45f1a5;118;462;971;173;405;140;353;225;408;189;141;694;277;160;739;159;1067;220;0;300;1080;0;1135;694;633;189;486;2280;334;0;2923;125;195;0;789;176;1070;507;3330;0;1687;510;1121;1310;607;54;104;1057;308;0;2794;58;238;2004;216;0;1379;517;351;455;707;816;0;136;232;0;0;1125;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
3534b4be198dac95882f6e730b647c60;1679;115;252;494;594;829;716;620;0;0;398;232;747;356;1213;137;532;370;794;358;634;0;1013;266;820;654;554;271;0;0;485;1054;670;740;3372;717;668;1818;2232;136;444;607;502;1437;783;532;0;557;629;120;3575;198;555;0;47;209;847;630;124;77;79;43;0;148;426;648;26;564;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium]_hallii_group;NA
