;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;Kingdom;Phylum;Class;Order;Family;Genus;Species
2893aeb225744a49866e347886550112;10793;8620;10245;12544;18760;13067;15197;14103;7905;6880;6090;8089;10066;9803;9661;10857;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
a8eb3e86e896febff5f3e223f84ba94b;10913;8856;8972;8893;2628;5315;3023;5026;13322;13346;16528;20635;16174;7423;9914;11241;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides_goldsteinii
89be42da16c5d0e95c37f715299d7307;3409;2750;3280;4084;5813;4245;4775;4401;2459;2184;1930;2433;2849;2827;2796;3150;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;NA
d33d84f90d2924040cf2eb66c7abe2fc;3552;918;6471;1673;11151;6320;8306;2599;997;379;781;248;10;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_murinus
d42dcc3b54886a855e798d650aaa1ef0;5820;1595;1586;884;538;172;36;512;3487;3194;3716;3398;4330;2872;3439;5863;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;unidentified
dd64ad7bd920376fa8d4bcf8394fc125;2323;3108;2258;1904;1157;439;695;1197;1222;5012;4174;5988;3491;468;3531;3399;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;unidentified
ccb80719aaf6b52bd8256aecd9c2b56c;1914;848;1806;1927;324;2563;5454;3950;803;1528;1689;631;571;1315;852;1119;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;uncultured_bacterium
b6c1a8ba78f65c4a4e96627ccc53ac86;2337;1625;4177;2259;480;5013;3487;4139;211;23;20;24;1040;1337;209;167;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_johnsonii
ffc36e27c82042664a16bcd4d380b286;60;99;108;23;190;48;84;65;3309;1627;2189;2696;7383;3050;1885;1073;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
c625a1db96ab91c4bc591c0964ad2e53;118;711;819;2909;166;94;187;327;5407;293;528;662;928;845;830;956;d__Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;NA
2b036c10ab6b64e84b22b84711aef6ef;627;1334;752;1447;1265;482;143;817;2414;950;811;881;244;504;730;224;d__Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma;uncultured_bacterium
2a6d79050cde424487c0b0d27cf1c00a;0;0;0;0;0;0;0;0;0;0;0;0;0;12090;117;55;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
79e3e1a15fc3c30b2c6b9b0a46830a5a;363;443;652;328;37;48;99;127;102;1397;1542;1464;1109;942;1820;34;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcaceae;uncultured_bacterium
547f80f193a2881abc9f7026b92ad352;708;202;1312;364;2358;1277;1715;494;241;73;170;40;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_murinus
7966f669971b26c2d74342a85e4c3880;42;0;360;593;822;766;2240;1555;0;0;0;0;1119;316;844;295;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
25362e54b2396a81f9e113419dd98905;1143;778;320;357;169;75;70;209;318;391;1647;1146;711;112;795;397;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;uncultured_rumen
