OTU	C_01_L	C_02_D	C_03_D	C_04_D	C_05_L	C_06_D	C_07_L	C_08_L	C_09_D	C_10_D	C_11_L	C_12_D	C_13_L	C_14_L	C_15_D	C_16_L	C_17_L	C_18_D	C_19_D	C_20_D	C_21_D	C_22_L	C_23_L	C_24_D	C_25_L	C_26_L	F_01_L	F_02_D	F_03_D	F_04_D	F_05_L	F_06_D	F_07_L	F_08_L	F_09_D	F_10_D	F_11_L	F_12_D	F_13_L	F_14_L	F_15_D	F_16_L	F_17_L	F_18_D	F_19_D	F_20_D	F_21_D	F_22_L	F_23_L	F_24_D	F_25_L	F_26_L	S_01_L	S_02_D	S_03_D	S_04_D	S_05_L	S_06_D	S_07_L	S_08_L	S_09_D	S_10_D	S_11_L	S_12_D	S_13_L	S_14_L	S_15_D	S_16_L	S_17_L	S_18_D	S_19_D	S_20_D	S_21_D	S_22_L	S_23_L	S_24_D	S_25_L	S_26_L
DENOVO1	73	14868	4071	6371	1826	462	2188	1870	1317	11709	92	1468	1642	1662	4444	3205	9555	14191	1821	2776	3617	8734	3614	1	7213	7250	67	8	49	4	23	77	1	23	306	343	47	30	107	69	73	3	265	9	1	12	787	500	99	184	513	29	7276	10392	6951	4495	8317	13669	5288	3419	8858	5334	15742	6767	8594	7673	8023	16832	26030	13285	9677	11477	12312	11228	10389	11652	8333	9364
DENOVO2	37	323	160	770	236	0	465	188	44	1996	1	148	323	133	893	4	323	707	578	523	2622	2395	2458	0	2777	1773	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	9642	662	66	2944	3671	9	8330	4873	6455	11107	3377	8264	1770	831	12365	388	8530	3843	11459	5528	6261	4418	373	13427	9617	5798
DENOVO3	0	1500	546	214	393	75	120	201	158	289	0	55	287	720	369	47	1106	762	281	277	720	847	224	0	1235	774	544	1	14	27	0	1	1	4	5	434	1	3	1	24	39	0	41	67	3	0	0	1	12	1	95	113	3627	1974	6534	3839	2364	5531	1732	1434	3357	2954	2858	2108	2798	1779	4181	8153	5340	3221	1561	4168	3954	2890	2244	2530	2439	2103
DENOVO4	0	505	58	204	207	0	21	108	98	189	0	587	125	130	201	134	439	1353	98	244	553	1261	956	0	1394	1297	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	8	0	447	2831	1827	991	3293	53	3659	1426	1870	5372	2330	1648	1011	1572	2522	1433	3217	3039	2561	3620	3457	8415	3530	4091	3550	5838
DENOVO5	96	816	512	430	1	73	254	17	75	37	0	1	46	33	25	367	0	1	5339	5933	110	15	54	0	612	24	3972	1820	2437	2942	3895	371	3764	5600	1947	12324	2393	4037	4723	9160	1634	325	5673	1237	91	4329	6992	13	1273	7223	4324	220	0	0	0	25	0	3	0	0	0	0	1	1	0	1	1	0	4	0	0	0	0	0	3	1	0	0
DENOVO6	3	1487	986	978	357	84	387	33	301	251	26	60	413	337	369	258	76	61	236	344	1030	391	1508	1	957	749	2828	17	197	5	133	1185	2	169	1628	5646	22	149	433	47	2339	12	844	220	0	7	7067	8425	586	1734	3725	224	1810	1869	6252	1635	869	6130	431	228	850	194	398	7729	3249	1192	1236	778	1403	456	2554	2232	620	2226	334	1225	601	1506
DENOVO7	99	2960	6252	6345	2765	413	1550	4047	3121	5811	350	239	3527	2680	5065	2802	162	275	251	952	7094	2784	16177	1	4668	9350	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	1	4	4	1	0	2	0	1	3	8	11	1	4	0	0	0	0	7	0	3	0	0	38	2	2	2	0	2	3	14	1	1	12
DENOVO8	63	1773	4503	1220	9395	1316	1929	6354	2915	4023	1152	642	10763	1223	15828	4344	635	333	159	1197	3329	1114	1227	1	3449	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	1	10	1	6	0	0	0	0	21	1	2	1	1	2	5	0	0	1	4	8	18	0	2	2
DENOVO9	0	614	0	77	53	0	7	9	0	185	14	0	46	19	1746	386	61	87	42	146	753	537	1526	0	749	2498	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	1529	643	1304	2018	39	2274	269	1138	3814	2387	1470	676	6730	7743	1358	1098	3398	3869	2035	296	8918	121	4651	1594	2654
DENOVO10	2	49	230	120	23	47	1	16	0	0	0	30	0	0	1	0	0	0	274	526	94	200	0	0	82	27	3010	2042	1058	3705	3114	1314	1475	1872	5231	5342	5105	2109	903	261	17164	1487	1779	504	3168	1819	388	1571	5809	7298	1527	2052	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
