"","Phylum","Family","Genus","AX1","AX2","AX3","AX4","AX7","AX8","AX9","AX10","AX11","AX12","AX13"
"a9df4b9c1fc27a7acf71d3d152506cf6","Halobacterota","Halomicrobiaceae",NA,0,0,0,0,0,0.00376251034690345,0,0,0,0,0
"283c2fd97e269aa67e023cde3e72a0b4","Planctomycetota","Isosphaeraceae","uncultured",0,0,0,0,0.0031055900621118,0,0,0,0,0,0
"b5a6bfbd636eac4e8e311b08fa0ce471","Verrucomicrobiota","Puniceicoccaceae","Puniceicoccus",0,0,0,0,0,0,0,0,0,0.0037267543696195,0
"e91e36621b16e04b8f7e8011c11cca45","Proteobacteria",NA,NA,0,0,0,0.00411954932130425,0,0,0,0,0,0,0
"5742520721baacca6ae87a709c2afd4f","Firmicutes","Caminicellaceae","Caminicella",0.00471601716630249,0,0,0,0,0,0,0,0,0,0
"5a0895e299c8cf386e59eaf4fd6cf8e8","Firmicutes","Peptococcaceae","uncultured",0,0.00319213458039391,0,0,0,0,0,0,0,0,0
"b41e35fca2a3f276bca293e1453728a3","Firmicutes","Mycoplasmataceae","Mycoplasma",0,0.00319213458039391,0,0,0,0,0,0,0,0,0
"bbc83a06593f362dec5cde5e8ecf0877","Cyanobacteria","Chloroplast","Chloroplast",0,0,0,0,0,0,0,0,0,0.0037267543696195,0
"1918207f20220073d21b2c06dbbe184f","Bacteroidota","Salinivirgaceae","Salinivirga",0,0,0,0,0,0.00376251034690345,0,0,0,0,0
"c1dc332d2e37a94e619234e49165a6dd","Bacteroidota","F082","F082",0,0,0,0,0,0,0.00463091599518385,0,0,0,0
"4128a19a7d291bc0c5245805e3131fde","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group",0,0,0,0,0,0,0,0,0,0.0037267543696195,0
"a6773f5de0c1a08d5b44e387c5712daf","Actinobacteriota","Microtrichaceae","IMCC26207",0,0,0,0,0,0,0,0,0,0.0037267543696195,0
"5bcf3456b15a0eaee5187cd036773040","Proteobacteria","Micavibrionaceae","uncultured",0.00471601716630249,0.00319213458039391,0,0,0,0,0,0,0,0,0
"1e97856d985b815d0cf2c6cf59d51404","Proteobacteria","Halomonadaceae",NA,0,0,0,0,0.0031055900621118,0,0,0,0,0,0
