"";"AX1";"AX2";"AX3";"AX4";"AX7";"AX8";"AX9";"AX10";"AX11";"AX12";"AX13";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"8d5020dc0c543956cc171d421eb82d8f";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"d__Archaea";"Nanoarchaeota";"Nanoarchaeia";"Woesearchaeales";"Woesearchaeales";"Woesearchaeales";NA
"953f8ea605922591bb03b3544251606b";"2";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"d__Archaea";"Halobacterota";"Methanosarcinia";"Methanosarciniales";"Methanosarcinaceae";"Methanohalophilus";NA
"a9df4b9c1fc27a7acf71d3d152506cf6";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"d__Archaea";"Halobacterota";"Halobacteria";"Halobacterales";"Halomicrobiaceae";NA;NA
"3d89fbb4c059e7ce8c1289d9fe26f225";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Archaea";"Halobacterota";"Halobacteria";"Halobacterales";"Haloferacaceae";"Salinigranum";NA
"a21bba0399cbf5840971546bd5b92df2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"d__Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"Pirellulaceae";"Rhodopirellula";NA
"283c2fd97e269aa67e023cde3e72a0b4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"uncultured";NA
"0eafc72ddcbf69c338f57c42466b9e01";"0";"0";"0";"0";"0";"0";"2";"0";"0";"4";"0";"d__Bacteria";"Planctomycetota";"Phycisphaerae";"Phycisphaerales";"Phycisphaeraceae";"uncultured";NA
"4a5dc6dcdf901f5eb6817725d92cef31";"0";"0";"0";"0";"0";"0";"3";"9";"3";"29";"3";"d__Bacteria";"Planctomycetota";"Phycisphaerae";"Phycisphaerales";"Phycisphaeraceae";"SM1A02";NA
"b5a6bfbd636eac4e8e311b08fa0ce471";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Puniceicoccaceae";"Puniceicoccus";NA
"81daad19f91a32f1de252cb152b79f6f";"0";"0";"0";"0";"0";"0";"12";"0";"0";"12";"11";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Puniceicoccaceae";"Verruc-01";NA
"018643fd426618456063b2763f6a43d1";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Patescibacteria";"Gracilibacteria";"JGI_0000069-P22";"JGI_0000069-P22";"JGI_0000069-P22";NA
"17fce0e82c9b2b692fe599fbd5b25356";"11162";"8133";"6849";"4870";"4644";"2231";"3481";"333";"1882";"1326";"530";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Haloferula";NA
"e91e36621b16e04b8f7e8011c11cca45";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"54979279e9a30618dec576e161dd504e";"14";"359";"9";"18";"7";"91";"66";"736";"145";"257";"0";"d__Bacteria";"Halanaerobiaeota";"Halanaerobiia";"Halanaerobiales";"Halanaerobiaceae";"Halanaerobium";NA
"b0ad1a4ed4f6c7916d1f4c5f0741616b";"15";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium_sensu_stricto_2";NA
"034b419e5dd2f4846895a52d1df68390";"0";"27";"6";"30";"21";"129";"90";"66";"7";"36";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Fusibacteraceae";"Fusibacter";NA
"071d1c0968a2c3110877439d419b9529";"71";"92";"0";"0";"0";"0";"2";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Peptostreptococcaceae";"uncultured";NA
"a8045d83ded9eb421a22113c2b3e5741";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Peptostreptococcales-Tissierellales";"Alkaliphilus";NA
"5742520721baacca6ae87a709c2afd4f";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Caminicellaceae";"Caminicella";NA
"db0d0f13dfb254ee7e6d7fb2f5223c14";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Thermotaleaceae";"Geosporobacter";NA
"7bd40f53d6a8994a2e6b2e1f90209bbc";"0";"0";"0";"0";"0";"0";"6";"0";"0";"9";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Peptostreptococcales-Tissierellales";"Gottschalkia";NA
"bd315aa49074848f6e563f0a94219ab9";"6";"9";"0";"6";"0";"30";"7";"7";"2";"9";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Dethiosulfatibacteraceae";"Dethiosulfatibacter";NA
"78da235a894595f6bd69640bed0982a4";"0";"22";"0";"0";"0";"0";"0";"51";"9";"0";"0";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Peptostreptococcales-Tissierellales";"Sporosalibacterium";NA
"4997fd1d46e1e27d917d9859bcfde12e";"4047";"887";"188";"98";"132";"123";"370";"885";"274";"128";"12";"d__Bacteria";"Firmicutes";"Clostridia";"Peptostreptococcales-Tissierellales";"Peptostreptococcales-Tissierellales";"Clostridiisalibacter";NA
"dd54028b6211d23847a8efd018ad5621";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Stappiaceae";NA;NA
"91894db0de488da7efcbdda2fbe42207";"77";"621";"8445";"2494";"38";"1645";"96";"35";"93";"897";"109";"d__Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Alkalibacterium";NA
"4a07d5ab0d6b71b596fdc6463978289d";"120";"85";"0";"0";"182";"15";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Virgibacillus";NA
"cf1c96192b6eb0fa614c50392a2b16e3";"9";"13";"0";"40";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";NA
"b575f6fab510a66d26f6d44397fcaf6b";"0";"0";"0";"0";"14";"0";"3";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Bacilli";"Staphylococcales";"Staphylococcaceae";"Salinicoccus";NA
"f655fe707ece2afdeed89090aecc938e";"0";"0";"176";"420";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Planococcaceae";"Planococcus";NA
"b850cffb61159ab35608aea33c406bcb";"158";"273";"263";"80";"409";"55";"32";"0";"150";"164";"308";"d__Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Gracilibacillus";NA
"92fecc4ce489a8de6a8010c2f719821a";"0";"0";"14";"35";"40";"0";"0";"35";"6";"0";"0";"d__Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Paraliobacillus";NA
"1d27e5fb19b2b9abb68b9d00c8b344f6";"0";"0";"28";"8";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Saliterribacillus";NA
