;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;Kingdom;Phylum;Class;Order;Family;Genus;Species
cccecb01ba7e6a521d1ec7483618a193;0;0;0;0;0.162403572878603;0;0.00560208397523879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;NA
33f585e0166518f7896eb81d89947156;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00410161056574882;0;0;0.0122701268424362;0;0.00863986867399615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;SCGC_AAA286-E23;SCGC_AAA286-E23;NA
880f6f4d8241e8e37e93c3166520720e;0.0627074880118038;0.105599340648019;0.0185048112509252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanolobus;NA
a5181122cc4336d8d024d9200b0c38d9;0.00983646870773392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta;NA
bb975b0bcf1220a3f63e1b633e9041be;0;0;0;0.0122904478639202;0;0;0;0;0;0;0;0;0.00967804374475772;0;0.00452048911692245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Planctomycetota;vadinHA49;vadinHA49;vadinHA49;vadinHA49;NA
be5055a0b8bb85aa0303b40d93b94843;0.0418049920078692;0.0334827177664452;0.00284689403860388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Planctomycetota;Phycisphaerae;S-70;S-70;S-70;NA
29984e8a1cac03e89d6081ef2bd161b5;0.0725439567195377;0.0746922165559161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Planctomycetota;Phycisphaerae;mle1-8;mle1-8;mle1-8;NA
906dba0de38ce5dcb841a4ad4474d9e8;0.740194270256978;1.82609591510843;0.0925240562546262;0.0294970748734084;0.657226958993098;1.19784346220814;1.81507520797737;0.757789822497367;0.191971091412117;0.139187925447467;0.090815199971509;0.0214183212319818;0.0435511968514098;0.0218752563506604;0.0632868476369143;0.0279737047175655;0.0291415512507861;0.202134740059654;0.15767760330043;0.32389273877674;0.430023455824863;0.719539070174973;0.710465287738442;0.743674492819695;0.455638930045086;0.660278288264636;0.75878374663221;0.446057406796437;0.65803127785035;0.358959558425629;0.623469665366827;0.731747879594213;0.695537159927938;d__Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;NA
0d34ff72d4440523f93caa865feb12db;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00219937317864409;0;0;0;0;0.0083153168135706;0.0159631479327723;d__Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;WD2101_soil_group;NA
96b7b1be9af3f200f2f6109c525dfd35;0.0061477929423337;0.00772678102302581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;NA
