"";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"N11";"N12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"S13";"S14";"S15";"S16";"S17";"S18";"S19";"S20";"S21";"S22";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"cccecb01ba7e6a521d1ec7483618a193";"0";"0";"0";"0";"64";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";NA
"33f585e0166518f7896eb81d89947156";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"8";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Archaea";"Nanoarchaeota";"Nanoarchaeia";"Woesearchaeales";"SCGC_AAA286-E23";"SCGC_AAA286-E23";NA
"b56267d3a5890dccfd7b02b7ef2c43be";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Archaea";"Halobacterota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";NA
"880f6f4d8241e8e37e93c3166520720e";"51";"41";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Archaea";"Halobacterota";"Methanosarcinia";"Methanosarciniales";"Methanosarcinaceae";"Methanolobus";NA
"a5181122cc4336d8d024d9200b0c38d9";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Archaea";"Halobacterota";"Methanosarcinia";"Methanosarciniales";"Methanosaetaceae";"Methanosaeta";NA
"bb975b0bcf1220a3f63e1b633e9041be";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Planctomycetota";"vadinHA49";"vadinHA49";"vadinHA49";"vadinHA49";NA
"be5055a0b8bb85aa0303b40d93b94843";"34";"13";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Planctomycetota";"Phycisphaerae";"S-70";"S-70";"S-70";NA
"29984e8a1cac03e89d6081ef2bd161b5";"59";"29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Planctomycetota";"Phycisphaerae";"mle1-8";"mle1-8";"mle1-8";NA
"906dba0de38ce5dcb841a4ad4474d9e8";"602";"709";"65";"12";"259";"571";"648";"295";"102";"64";"51";"10";"27";"16";"28";"14";"19";"82";"73";"172";"275";"542";"530";"522";"0";"286";"503";"690";"338";"539";"199";"275";"264";"305";"d__Bacteria";"Planctomycetota";"Phycisphaerae";"Phycisphaerales";"Phycisphaeraceae";"SM1A02";NA
"0d34ff72d4440523f93caa865feb12db";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"7";"d__Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101_soil_group";"WD2101_soil_group";NA
