sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
00000_ID3003_11-LDG11-A1-C2	1814	1435	79.11	1404	1404	77.4	1404	77.4
00000_ID3003_12-LDG12-A1-D2	2270	1452	63.96	1413	1406	61.94	1406	61.94
00000_ID3003_13-LDG13-A1-E2	790	541	68.48	517	512	64.81	512	64.81
00000_ID3003_16-LDG16-A1-H2	1469	1128	76.79	1099	1071	72.91	1071	72.91
00000_ID3003_17-LDG17-A1-A3	1885	1475	78.25	1422	1374	72.89	1374	72.89
00000_ID3003_18-LDG18-A1-B3	1552	1221	78.67	1171	1163	74.94	1162	74.87
00000_ID3003_19-LDG19-A1-C3	813	586	72.08	555	528	64.94	528	64.94
00000_ID3003_20-LDG20-A1-D3	2121	1649	77.75	1622	1577	74.35	1577	74.35
00000_ID3003_21-LDG21-A1-E3	1881	1467	77.99	1376	1358	72.2	1301	69.17
00000_ID3003_22-LDG22-A1-F3	246855	205901	83.41	205830	205177	83.12	205137	83.1
00000_ID3003_23-LDG23-A1-G3	3186	2538	79.66	2476	2419	75.93	2419	75.93
00000_ID3003_25-LDG25-A1-A4	7080	5790	81.78	5734	5673	80.13	5652	79.83
00000_ID3003_30-LDG30-A1-F4	120765	99940	82.76	99839	99701	82.56	99700	82.56
00000_ID3003_5-LDG5-A1-E1	729	575	78.88	540	540	74.07	540	74.07
00000_ID3003_6-LDG6-A1-F1	8589	7234	84.22	7216	7191	83.72	7190	83.71
