"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ffc36e27c82042664a16bcd4d380b286";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"Escherichia_coli"
"5f8b99d96b9fb65e12c944b3f8bd38b9";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia-Caballeronia-Paraburkholderia";NA
"b0728b5f5f391ce7f6f2c7f944a6afcd";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"1ce75431844bbbfc9fe9e8c651fbebf7";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Leifsonia";NA
"c983f35a7f2e95ea2d1a9681c5e0b481";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"dd8c8d60bfca3e1df01a4bbff8d3326e";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"b54e0d76031f1ce0b61374682af2c4b9";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"uncultured_bacterium"
"faa381bb2595401f215dd69c372d6a10";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"4b729b162535fcc01b4ff0ca1b14f9da";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"eaf5cd80896e4542498ff4b996378936";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"Escherichia_coli"
"1f3973c5e325930f163fad96daf0886c";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"Escherichia_coli"
"64c58140fef452a84a5cbdcb0ffe833d";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"Escherichia_coli"
"b02a8d33d018119dedb2db15db887bfd";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Propionibacteriaceae";"Cutibacterium";"uncultured_bacterium"
"540927d0d736c7a52121a2582515b856";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"156f327fa155748ef9537190c7d38fe1";"d__Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"uncultured_bacterium"
"04ef2d99ab18668a8edfaaad3e514a1d";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"6e379ee955623eab44775426289cbab3";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"60b42dff17604f304c929a42488f1705";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"Escherichia_coli"
"0e6b4887dd616c85dc5bc1c268916abc";"d__Bacteria";"Firmicutes";"Clostridia";"Clostridia_UCG-014";"Clostridia_UCG-014";"Clostridia_UCG-014";"uncultured_bacterium"
"31c5d6d689fe24ec7157fa1c0783fbd4";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium-Methylorubrum";NA
"6e31cbd8efb3701612f34b744fa42dce";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";NA
"dfa833b266bd2993b86feab3617b34c3";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Akkermansiaceae";"Akkermansia";"uncultured_bacterium"
"a39d801345fa448b725cc560f78f64bd";"d__Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Ruminococcus";"uncultured_bacterium"
"77087c966bd1f46d43d2c4913475bc98";"d__Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";NA
"691df5ef00365cc7d13b8430b4bbaca9";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia-Shigella";"Escherichia_coli"
"8f2bbe692f7aca0f2c3959c3cf312b1d";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"NA_ f Xanthobacteraceae";NA
"f359d6b12d6df77fce3684238719e6c2";"d__Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"de8469ffeeebdd518cc1d19a8373b785";"d__Bacteria";"Campilobacterota";"Campylobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";NA
"765713a2abb0adad18bd1e83487f766d";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Akkermansiaceae";"Akkermansia";"uncultured_bacterium"
"5e21a6de8e9df1ff5be0917964e8f854";"d__Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"uncultured_bacterium"
"7e7f8ede26a674373ffdcc82edd0c8ef";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";NA
"98fcc7e4135d41152d2db711de5c1255";"d__Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"uncultured_bacterium"
"c29919216bd6a6713038fd18691cc505";"d__Bacteria";"Actinobacteriota";"Actinobacteria";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";NA
"11c192ca47293df7d3c26138fd796fe1";"d__Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";"uncultured_bacterium"
"4abaa483334092f021534a979086baeb";"d__Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"uncultured_bacterium"
