"","Phylum","Family","Genus","Blood1","Blood3","Blood5","Blood2","Blood4","Blood6","Blood7","Blood9","Blood10","Blood8","Blood11"
"f047aa1950d5df8c5f644fc3e0816c7a","Firmicutes","Oscillospiraceae","Intestinimonas",0,0,0,0,0,0,0,0,0,0,0
"b3d8cae1e968a9676870edde4d8f917d","Bacteroidota","Chitinophagaceae","uncultured_ f Chitinophagaceae",0,0,0,0,0,0,0,0,0,0,0
"2cd30e9eda91687ba73dcae76f4f1880","Proteobacteria","Caulobacteraceae","Brevundimonas",0,0,0,0,0,0,0,0,0,0,0
"0a1f5ed70dcb37a86924dbd5fde981af","Proteobacteria","Moraxellaceae","Enhydrobacter",0,0,0,0,0,0,0,0,0,0,0
"95c803effac1fe43fddb7555db579145","Proteobacteria","Rhodocyclaceae","Dechloromonas",0,0,0,0,0,0,0,0,0,0,0
"8f86679d76f35a81a3a07dd41fc3fac7","Bacteroidota","Hymenobacteraceae","Hymenobacter",0,0,0,0,0,0,0,0,0,0,0
"9db2817f5c42be6a7bcbca662959982d","Proteobacteria","Xanthobacteraceae","Bradyrhizobium",0,0,0,0,0,0,0,0,0,0,0
"8ed599bb2b43e7e738670044a057f836","Planctomycetota","Pirellulaceae","Pir4_lineage",0,0,0,0,0,0,0,0,0,0,0
"62fa84d7e105e85e81d81bb1319a10ed","Firmicutes","Peptostreptococcales-Tissierellales","Peptoniphilus",0,0,0,0,0,0,0,0,0,0,0
"3534b4be198dac95882f6e730b647c60","Firmicutes","Lachnospiraceae","[Eubacterium]_hallii_group",0,0,0,0,0,0,0,0,0,0,0.0353857041755131
"6a5ad69a3ee9a48a7b1696715207d83b","Actinobacteriota","Geodermatophilaceae","Klenkia",0,0,0,0,0,0,0,0,0,0,0
"9b39a845425872b8466dd78a5748b19d","Proteobacteria","Neisseriaceae","Neisseria",0,0,0,0,0,0,0,0,0,0,0
"5c4d664b5d343d4740336c157bdb3e2f","Proteobacteria","Caulobacteraceae","Caulobacter",0,0,0,0,0,0,0,0,0,0,0
"2e7778934d61effc9f845bb5699293dc","Firmicutes","Thermicanaceae","Thermicanus",0,0,0,0,0,0,0,0,0,0,0
"36fc3641ac616b0049cffc718081ab68","Proteobacteria","Caulobacteraceae","uncultured_ f Caulobacteraceae",0,0,0,0,0,0,0,0,0,0,0
"151004f4bc42b5658e5bafe0e6dd6552","Fusobacteriota","Leptotrichiaceae","Leptotrichia",0,0,0,0,0,0,0,0,0,0,0
"02aaade0e0c17068a8061682592b8986","Firmicutes","Ruminococcaceae","uncultured_ f Ruminococcaceae",0,0,0,0,0,0,0,0,0,0,0.0530785562632696
"262259af1422a097100b3380887e9d04","Proteobacteria","Sphingomonadaceae","Blastomonas",0,0,0,0,0,0,0,0,0,0,0
"3efbc4ad0134e63d59a6feea192d971b","Firmicutes","Ruminococcaceae","CAG-352",0,0,0,0,0,0,0,0,0,0,0
"745b59dafda00eb6c8ad3f99c6fe24a9","Proteobacteria","Anaplasmataceae","Wolbachia",0,0,0,0,0,0,0,0,0,0,0
"9de3d0820ed68a1025df0fccf3d096e6","Firmicutes","Oscillospiraceae","Colidextribacter",0,0,0,0,0,0,0,0,0,0,0
"431b202881a0c1f5fd5742cfef83de66",NA,NA,"NA_ o NA",0,0,0,0,0,0,0,0,0,0,0
