FASTQ_ID	Project	Project_number	Reactor_number	Sample_number	Sample_name	Reactor_scale	Seq_depth	Sample_type	Influent	Influent_extra	Project_description	Sample_original_name
ERR8521291	PRJEB50804	1	1	1	D01_R01_S01	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor1	Feb16_AGS1
ERR8521294	PRJEB50804	1	1	2	D01_R01_S02	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor1	Jan7_AGS1
ERR8521297	PRJEB50804	1	1	3	D01_R01_S03	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor1	Nov17_AGS1
ERR8521300	PRJEB50804	1	1	4	D01_R01_S04	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor1	Sept28_AG1
ERR8521292	PRJEB50804	1	2	5	D01_R02_S05	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor2	Feb16_AGS2
ERR8521295	PRJEB50804	1	2	6	D01_R02_S06	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor2	Jan7_AGS2
ERR8521298	PRJEB50804	1	2	7	D01_R02_S07	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor2	Nov17_AGS2
ERR8521301	PRJEB50804	1	2	8	D01_R02_S08	Full	<5	AGS	Real	Sweden	Full scale\nSweden_reactor2	Sept28_AG2
SRR27548884	PRJNA1054024	2	3	1	D02_R03_S01	Full	10	AGS	Real	Ireland\nsmall granules	Full scale\nRingsend 	AGS_MG_SG
SRR27548885	PRJNA1054024	2	3	2	D02_R03_S02	Full	10	AGS	Real	Ireland\nlarge granules	Full scale\nRingsend 	AGS_MG_LG
SRR17089433	PRJNA783874	3	4	1	D03_R04_S01	Full	10	AGS	Real	Holand	Full scale\nUtrecht	Beginning aeration small granules iDNA -d1
SRR17089452	PRJNA783874	3	4	2	D03_R04_S02	Full	10	AGS	Real	Holand	Full scale\nUtrecht	End aeration exDNA -d1
SRR17089454	PRJNA783874	3	4	3	D03_R04_S03	Full	10	AGS	Real	Holand	Full scale\nUtrecht	End aeration small granules iDNA -d1
SRR17089455	PRJNA783874	3	4	4	D03_R04_S04	Full	10	AGS	Real	Holand	Full scale\nUtrecht	End aeration large granules iDNA -d1
SRR17089456	PRJNA783874	3	4	5	D03_R04_S05	Full	10	AGS	Real	Holand	Full scale\nUtrecht	Beginning aeration exDNA -d1
SRR17089436	PRJNA783874	3	4	6	D03_R04_S06	Full	10	AGS	Real	Holand	Full scale\nUtrecht	End aeration exDNA -d2
SRR17089439	PRJNA783874	3	4	7	D03_R04_S07	Full	10	AGS	Real	Holand	Full scale\nUtrecht	Beginning aeration large granules iDNA -d1
SRR17089440	PRJNA783874	3	4	8	D03_R04_S08	Full	<5	AGS	Real	Holand	Full scale\nUtrecht	End aeration small granules iDNA -d2
