FASTQ_ID	Seq_batch	Rack_position	Sample_name	Sample_order	Reactor	Biomass	Sample_code	Reactor_ID	Storage	Glycerol	Collection_data	Time_before_extr	Time_before_extr2	Season	Collection_mean_T	Note
1607801	4	none	L6	59	Pilot_AGS	AGS	L9	Pilot_AGS_3	-80C_noGly	noGly	21/11/2023	6month	6m	Autumn	/	
1607831	4	none	L8	61	Pilot_AGS	AGS	L39	Pilot_AGS_4	-80C_noGly	noGly	22/03/2024	1month	1m	Spring	/	
1607832	4	none	L10	63	Pilot_AGS	AGS	L40	Pilot_AGS_5	-80C_noGly	noGly	27/03/2024	1month	1m	Spring	/	
1607837	4	none	L5	58	Pilot_AGS	AGS	LD9	Pilot_AGS_3	Direct	 	21/11/2023	None	 	Autumn	/	
1607838	4	none	L7	60	Pilot_AGS	AGS	LD39	Pilot_AGS_4	Direct	 	22/03/2024	None	 	Spring	/	
1607839	4	none	L9	62	Pilot_AGS	AGS	LD40	Pilot_AGS_5	Direct	 	27/03/2024	None	 	Spring	/	
1607856	3	none	PG4	51	PN_AGS	AGS	PG1	PN_AGS_1	-20C_noGly	noGly	24/01/2024	3month	6m	Winter	/	Original name _ P8
1607858	3	none	PG5	52	PN_AGS	AGS	PG2	PN_AGS_2	-20C_noGly	noGly	30/03/2024	3month	6m	Spring	/	Original name _ P10
1607860	3	none	PG6	53	PN_AGS	AGS	PG3	PN_AGS_3	-20C_noGly	noGly	02/05/2024	3month	6m	Spring	/	Original name _ P12
1744943	2	A11	PG1	48	PN_AGS	AGS	PG1_gly	PN_AGS_1	-20C	Gly	24/01/2024	3month	6m	Winter	/	Comparison 20 vs 20gly AGS
1744944	2	A12	PG2	49	PN_AGS	AGS	PG2_gly	PN_AGS_2	-20C	Gly	30/03/2024	3month	6m	Spring	/	/
1744949	2	B05	PG3	50	PN_AGS	AGS	PG3_gly	PN_AGS_3	-20C	Gly	02/05/2024	3month	6m	Spring	/	/
1778909	5	none	PGB3	66	PN_AGS2	AGS	PG4_F1m	PN_AGS_4	4C	 	16/07/2025	1month	1m	Summer	/	Yes, it is the third one of its series but is numbered anomausly
1778910	5	none	PGB4	67	PN_AGS2	AGS	PG4B20_1	PN_AGS_4	-20C_noGly	noGly	16/07/2025	1month	1m	Summer	/	
1778911	5	none	PGB5	68	PN_AGS2	AGS	PG4B20_1gly	PN_AGS_4	-20C	Gly	16/07/2025	1month	1m	Summer	/	
1778912	5	none	PGB6	69	PN_AGS2	AGS	PG4B80_1	PN_AGS_4	-80C_noGly	noGly	16/07/2025	1month	1m	Summer	/	
1778913	5	none	PGB7	70	PN_AGS2	AGS	PG4B80_1gly	PN_AGS_4	-80C	Gly	16/07/2025	1month	1m	Summer	/	
1778914	5	none	PGB1	64	PN_AGS2	AGS	PG4	PN_AGS_4	Direct	 	16/07/2025	None	 	Summer	/	Yes, it is the first one of its series but is numbered anomausly
1778915	5	none	PGB2	65	PN_AGS2	AGS	PG4_F1w	PN_AGS_4	4C	 	16/07/2025	1weak	1w	Summer	/	Yes, it is the second one, and it was extracted by Ramazzotti
1778916	5	none	PGB8	71	PN_AGS2	AGS	PG4_F2m	PN_AGS_4	4C	 	16/07/2025	3month	3m	Summer	/	
1778917	5	none	PGB9	72	PN_AGS2	AGS	PG4B20_2	PN_AGS_4	-20C_noGly	noGly	16/07/2025	3month	3m	Summer	/	
1778918	5	none	PGB10	73	PN_AGS2	AGS	PG4B20_2gly	PN_AGS_4	-20C	Gly	16/07/2025	3month	3m	Summer	/	
1778919	5	none	PGB11	74	PN_AGS2	AGS	PG4B80_2	PN_AGS_4	-80C_noGly	noGly	16/07/2025	3month	3m	Summer	/	
1778920	5	none	PGB12	75	PN_AGS2	AGS	PG4B80_2gly	PN_AGS_4	-80C	Gly	16/07/2025	3month	3m	Summer	/	
1408525	1	none	A1	1	CuoioDepur_Aero	Flocs	A72D	A 07/22	Direct	 	21/07/2022	None	 	Autumn	25	The older one, in this period the temperature reached 35C
1408526	1	none	A2	2	CuoioDepur_Aero	Flocs	AO2D	A 04/10/22	Direct	 	04/10/2022	None	 	Autumn	18	
1408527	1	none	A3	3	CuoioDepur_Aero	Flocs	A72B3	A 07/22	-20C	Gly	21/07/2022	3month	3m	Autumn	25	
1408528	1	none	A4	4	CuoioDepur_Aero	Flocs	2AO2D	A 14/10/22	Direct	 	14/10/2022	None	 	Autumn	17	Muddy
1408529	1	none	A5	7	CuoioDepur_Aero	Flocs	A72F6	A 07/22	No_storage	 	21/07/2022	6month	6m	Autumn	25	It smells a lot now
1408530	1	none	A6	6	CuoioDepur_Aero	Flocs	AD2D	A 12/22	Direct	 	07/12/2022	None	 	Autumn	13	
1408531	1	none	A7	5	CuoioDepur_Aero	Flocs	A72F3	A 07/22	No_storage	 	21/07/2022	3month	3m	Autumn	25	The smell changed... It seems anaerobic now
1408532	1	none	A8	8	CuoioDepur_Aero	Flocs	A13D	A 01/23	Direct	 	27/01/2023	None	 	Winter	9	Some precipitation in this period before the collection day
1607797	4	none	L1	54	Pilot_AGS	Flocs	L5	Pilot_AGS_1	-80C_noGly	noGly	02/11/2023	6month	6m	Autumn	/	Comparison direct extraction vs 80
1607798	4	none	L3	56	Pilot_AGS	Flocs	L6	Pilot_AGS_2	-80C_noGly	noGly	07/11/2023	6month	6m	Autumn	/	
1607835	4	none	L2	55	Pilot_AGS	Flocs	LD5	Pilot_AGS_1	Direct	 	02/11/2023	None	 	Autumn	/	
1607836	4	none	L4	57	Pilot_AGS	Flocs	LD6	Pilot_AGS_2	Direct	 	07/11/2023	None	 	Autumn	/	
1744973	2	D05	A10	10	CuoioDepur_Aero	Flocs	A72B9	A 07/22	-20C	Gly	21/07/2022	6month	6m	Autumn	25	
1744974	2	D06	A11	11	CuoioDepur_Aero	Flocs	AO2B6	A 04/10/22	-20C	Gly	04/10/2022	6month	6m	Autumn	18	
