FASTQ_ID;Sample_name;Experiment_day_reactor;Experiment_day;Sample_Type;Feast_Famine_ratio;Reactor_Type;Experiment_state;Storage;Sampling_date;Also_RNA
1498731;F1;315;1;R2;1;P_limitation;Still_preparing;/;21_03_23;No
1498732;F2;318;4;R2;1;P_limitation;Still_preparing;/;24_03_23;No
1498734;F4;324;10;R2;1;P_limitation;Still_preparing;/;30_03_23;No
1498735;F5;329;15;R2;1;P_limitation;Still_preparing;/;04_04_23;No
1498736;F6;336;22;R2;1;P_limitation;Still_preparing;/;11_04_23;No
1498737;F7;339;25;R2;2;P_limitation;Started;/;14_04_23;No
1498738;F8;343;29;R2;2;P_limitation;Started;/;18_04_23;No
1498739;F9;352;38;R2;2;P_limitation;Started;/;27_04_23;No
1498740;F10;359;45;R2;2;P_limitation;Started;/;04_05_23;No
1498741;F11;364;50;R2;2;P_limitation;Started;/;09_05_23;No
1498742;F12;367;53;R2;2;P_limitation;Started;/;12_05_23;No
1498743;F13;373;59;R2;2;P_limitation;Started;/;18_05_23;No
1498744;F14;377;63;R2;2;P_limitation;Almost_stabilized;/;22_05_23;Yes
1498745;F15;381;67;R2;2;P_limitation;Almost_stabilized;/;26_05_23;No
1498746;F16;385;71;R2;2;P_limitation;Almost_stabilized;/;30_05_23;No
1498747;F17;392;78;R2;2;P_limitation;Almost_stabilized;/;06_06_23;No
1498748;F18;395;81;R2;2;P_limitation;Almost_stabilized;/;09_06_23;Yes
1498749;F19;399;85;R2;2;P_limitation;Almost_stabilized;/;13_06_23;No
1498750;F20;405;91;R2;2;P_limitation;Almost_stabilized;/;19_06_23;No
1498751;F21;407;93;R2;2;P_limitation;Almost_stabilized;/;21_06_23;No
1498752;F22;409;95;R2;2;P_limitation;Almost_stabilized;/;23_06_23;Yes
1498706;S1;315;1;R1;1;P_limitation;Still_preparing;/;21_03_23;No
1498707;S2;318;4;R1;1;P_limitation;Still_preparing;/;24_03_23;No
1498709;S4;324;10;R1;1;P_limitation;Still_preparing;/;30_03_23;No
1498710;S5;329;15;R1;1;P_limitation;Still_preparing;/;04_04_23;No
1498711;S6;336;22;R1;1;P_limitation;Still_preparing;/;11_04_23;No
1498712;S7;339;25;R1;1;P_limitation;Started;/;14_04_23;No
1498713;S8;343;29;R1;1;P_limitation;Started;/;18_04_23;No
1498714;S9;352;38;R1;1;P_limitation;Started;/;27_04_23;No
1498715;S10;359;45;R1;1;P_limitation;Started;/;04_05_23;No
1498716;S11;364;50;R1;1;P_limitation;Started;/;09_05_23;No
1498717;S12;367;53;R1;1;P_limitation;Started;/;12_05_23;No
1498718;S13;373;59;R1;1;P_limitation;Started;/;18_05_23;No
1498719;S14;377;63;R1;1;P_limitation;Almost_stabilized;/;22_05_23;Yes
1498720;S15;381;67;R1;1;P_limitation;Almost_stabilized;/;26_05_23;No
1498721;S16;385;71;R1;1;P_limitation;Almost_stabilized;/;30_05_23;No
1498722;S17;392;78;R1;1;P_limitation;Almost_stabilized;/;06_06_23;No
1498723;S18;395;81;R1;1;P_limitation;Almost_stabilized;/;09_06_23;Yes
1498724;S19;399;85;R1;1;P_limitation;Almost_stabilized;/;13_06_23;No
1498725;S20;405;91;R1;1;P_limitation;Almost_stabilized;/;19_06_23;No
1498726;S21;407;93;R1;1;P_limitation;Almost_stabilized;/;21_06_23;No
1498727;S22;409;95;R1;1;P_limitation;Almost_stabilized;/;23_06_23;Yes
