;Acetic;Propionic;isoButyric;Butyric;isoValeric;2MethylButyric;Valeric;isoHexanoic;Hexanoic;Heptanoic;Octanoic;Nonanoic;Decanoic;Benzoic;Dodecanoic;Phenylacetyc;Phenylpropionic;Tetradecanoic;Hexadecanoic;Octadecanoic
C1;20536.1;3334.4;21.1;2087.1;13.9;21.9;19.6;1.5;2.4;2.4;2;4.5;1.3;4.2;4.8;16.5;36;53.4;539.4;806.4
C2;16216.3;6557.9;370.3;2172.3;574;334;19.6;22.5;2.4;2.4;2;4.5;1.3;4.2;13.2;126;110.8;175.7;5851.5;3412.1
C3;41699.5;6692.4;1291.9;7262.2;878.9;770.8;1322.4;12.7;763.1;109.9;25.5;4.5;1.3;8.4;4.8;349.8;72;53.4;461.9;1365.7
C4;34673.1;10195.4;1713.1;2380.9;1377.2;1237.9;1134.5;2.9;408.8;4.8;2;4.5;3.5;4.2;13.9;486.9;36;106.7;1196.4;1489.9
C5;63592.1;13658.2;389.2;16242.1;126.4;126.5;1172.4;22.6;1672.2;104.6;6.4;4.5;1.3;14.6;4.8;33;36;53.4;2405.5;1619.3
C6;29275.9;8741.7;1065.7;4573.5;877.6;765.1;1708.6;1.5;92.2;2.4;2;4.5;5.2;33.3;29.2;387.4;72;343.6;5567.6;13960.6
C7;52546.2;5435.7;212.5;14159.3;80.8;43.9;140.2;1.5;11.4;2.4;2;4.5;0.7;8.4;2.4;33;36;53.4;194.1;951.8
C8;63013.5;19576.9;305.6;5707.8;152.7;145.2;117.7;1.5;23.8;2.4;4.1;4.5;4.7;8.4;4.8;152.6;36;53.4;811;1406.5
C9;9186;1302.8;177.3;255.6;102.3;117.9;135.4;19.9;8.7;2.4;2;4.5;2.1;4.2;4.8;50.5;36;53.4;194.1;360.8
C10;38097.2;10505.6;935.5;5545.6;1172.9;1059.5;39.1;1.5;2.4;2.4;2;4.5;1.3;4.2;36.6;237.1;36;298.6;4774.5;5358.4
C11;33691.6;12355;805.3;6214.4;429.6;505.9;2272.8;1.5;473.7;119.5;2;4.5;7.1;4.2;47.3;168.1;72;555.1;9537.2;19293
C12;45652.4;6959.6;1306.6;11136.7;1043.8;1026.9;1605.7;1.5;36;2.4;4.1;4.5;42.6;25.8;157.9;510.8;36;763;11802.2;16818.6
C13;71665.1;15427.3;313.2;18077;161.6;88.9;774.7;4.6;54.1;2.4;2;4.5;1.3;8.4;2.4;142.8;36;53.4;500.8;1088.6
C14;61337.8;20333.5;1545;16339.7;1947.1;1693.4;315.2;1.5;37;2.4;7.3;4.5;87.5;8.4;546;485.5;116.4;2785.8;10052.3;41240.3
C15;40984;15776.6;1441.2;10702.6;1093.3;857.8;1107.6;9.6;13.3;2.4;2;4.5;0.7;8.4;7.2;473.5;72;53.4;1634;2598.4
C16;52219.8;32324.1;1051;14388.3;476.3;697.8;853.3;17;31.5;2.4;2;4.5;5.7;8.4;11.1;151.2;36;106.7;1374.4;2283
C17;28651.5;7573.9;665.2;5062.8;471.3;409.8;828.8;1.5;14.2;2.4;2;4.5;1.3;8.4;16.3;196.7;36;293.2;12291.9;44822
HP2;56896.5;12979.8;827.7;16299.1;424.2;513.7;2077.3;2.9;2147.1;192.9;32.3;4.5;1.3;17.8;2.4;159.3;275.3;53.4;441.7;1217.4
HP4;15185.5;14256.8;1488.2;6763.4;922.1;985.9;1698.1;74.4;26.7;2.4;2;4.5;2.7;8.4;15.4;500.9;36;272.7;5643.7;9192.5
HP7;9066;5401;797.9;6403.1;540.5;433.8;392.2;1.5;43.9;2.4;4.1;4.5;10;4.2;12.2;16.5;36;53.4;1092.8;921.2
HP8;7461.5;807.4;705.3;1822.8;569.6;531.9;577.6;1.5;30.5;2.4;2;4.5;5.3;4.2;4.8;16.5;36;106.7;1766.6;2440.7
HP9;38762.6;11540.9;1106.4;15154.8;801.8;826;1311.9;104.5;58.2;2.4;12.4;4.5;11.2;8.4;17.4;485.2;438.3;106.7;2032.8;2903.2
HP10;25180;9074.7;635.9;6815.7;561.2;648.2;976.1;37.6;108.1;12.5;16.3;8.9;17.3;529.1;15.8;348.1;138.6;106.7;2158.3;5471.8
H2;41893;13360.2;1058.4;10283.7;646.8;662.9;1293.7;39.7;33;2.4;2;4.5;7.9;4.2;33.8;145.6;315.1;368.7;4796.5;1462.6
H6;22825.7;5289.1;812.7;4740.2;555.6;626.6;940.4;16.8;309.2;65.8;9.6;4.5;1.3;4.2;4.8;204.8;72;106.7;1278.8;49.7
H1;29396.8;7795.9;743.3;9818.6;319.7;390.9;1308.4;21.7;604.5;51.2;1.7;0.1;1.1;15;1.6;119.9;45.8;20.9;128.4;250.3
H4;19210.2;10571;320.2;1563.4;190.1;181.6;27.5;2.6;1.7;1.1;1.7;0.1;1.1;51;7.5;71.4;9.2;20.9;687.1;1508.1
H7;28801.1;8731.8;489.7;5119.8;164.2;233.6;608.7;5.1;3.3;1.1;1.7;0.1;1.1;83.3;2.5;129.1;90;20.9;143.2;283.4
H8;33258.7;6144.7;544.5;5555.8;187.3;271.3;870.1;36.7;507.9;60.5;8.1;0.1;1.1;7.4;1.6;151.8;105.9;20.9;58.8;137.7
H9;40733.8;31316.3;559.5;8519.4;235.9;180.4;487;5.1;5.7;1.1;1.7;0.1;1.1;12.4;0.8;132.8;9.2;20.9;50.4;129.4
